place_id,name_left,types,rating,user_ratings_total,price_level,lat,lon,vicinity,business_status,editorial_summary,website,international_phone_number,cuisine_detected,cuisine_source,top_review_language,top_language_share,n_reviews_fetched,review_language_counts_json,cuisine_detected_ext,cuisine_source_ext,brand_name,brand_category,brand_source,name_right
sample_xaZ6ij9z1e,The Greek Spot 0,"restaurant,food,point_of_interest,establishment",4.9,1374.0,4.0,51.51675250780071,-0.1069328620108005,"City of London, London",OPERATIONAL,A popular Greek restaurant in the heart of the city.,http://example.com,+44 20 1234 5678,greek,manual,en,1.0,5,"{""en"": 5}",greek,name,,,,City of London
sample_dM7IhBkxf5,The Italian Spot 2,"restaurant,food,point_of_interest,establishment",4.2,1300.0,4.0,51.5137388721766,-0.1027911545988397,"City of London, London",OPERATIONAL,A popular Italian restaurant in the heart of the city.,http://example.com,+44 20 1234 5678,italian,manual,en,1.0,5,"{""en"": 5}",italian,name,,,,City of London
sample_WaLItafKzu,The Lebanese Spot 4,"restaurant,food,point_of_interest,establishment",4.4,721.0,2.0,51.51209189875832,-0.0831002959793199,"City of London, London",OPERATIONAL,A popular Lebanese restaurant in the heart of the city.,http://example.com,+44 20 1234 5678,lebanese,manual,en,1.0,5,"{""en"": 5}",middle_eastern,name,,,,City of London
sample_boxszkw8CI,The Spanish Spot 6,"restaurant,food,point_of_interest,establishment",4.0,585.0,2.0,51.50846538090644,-0.0822936616051833,"City of London, London",OPERATIONAL,A popular Spanish restaurant in the heart of the city.,http://example.com,+44 20 1234 5678,spanish,manual,en,1.0,5,"{""en"": 5}",spanish,name,,,,City of London
sample_m9yUYicro7,The Peruvian Spot 10,"restaurant,food,point_of_interest,establishment",3.7,1194.0,2.0,51.51310574041664,-0.1088775795516988,"City of London, London",OPERATIONAL,A popular Peruvian restaurant in the heart of the city.,http://example.com,+44 20 1234 5678,peruvian,manual,en,1.0,5,"{""en"": 5}",peruvian,name,,,,City of London
sample_jbHkfX4pBf,The Polish Spot 12,"restaurant,food,point_of_interest,establishment",4.2,1112.0,4.0,51.50954448461115,-0.0952566916444406,"City of London, London",OPERATIONAL,A popular Polish restaurant in the heart of the city.,http://example.com,+44 20 1234 5678,polish,manual,en,1.0,5,"{""en"": 5}",polish,name,,,,City of London
sample_cwI16G5Jrj,The Brazilian Spot 13,"restaurant,food,point_of_interest,establishment",5.0,1080.0,2.0,51.51434779738005,-0.0741868606698122,"City of London, London",OPERATIONAL,A popular Brazilian restaurant in the heart of the city.,http://example.com,+44 20 1234 5678,brazilian,manual,en,1.0,5,"{""en"": 5}",brazilian,name,,,,City of London
sample_jE701reIR2,The Korean Spot 14,"restaurant,food,point_of_interest,establishment",3.5,1788.0,4.0,51.51047671661655,-0.0883457346656288,"City of London, London",OPERATIONAL,A popular Korean restaurant in the heart of the city.,http://example.com,+44 20 1234 5678,korean,manual,en,1.0,5,"{""en"": 5}",korean,name,,,,City of London
sample_Jw48MBJmA1,The Mexican Spot 16,"restaurant,food,point_of_interest,establishment",4.4,863.0,2.0,51.51169064117173,-0.0793275408281897,"City of London, London",OPERATIONAL,A popular Mexican restaurant in the heart of the city.,http://example.com,+44 20 1234 5678,mexican,manual,en,1.0,5,"{""en"": 5}",mexican,name,,,,City of London
sample_IynOyzc0uJ,The Peruvian Spot 17,"restaurant,food,point_of_interest,establishment",4.4,1452.0,1.0,51.51501528956893,-0.0898934913235228,"City of London, London",OPERATIONAL,A popular Peruvian restaurant in the heart of the city.,http://example.com,+44 20 1234 5678,peruvian,manual,en,1.0,5,"{""en"": 5}",peruvian,name,,,,City of London
